exp_num,defense_name,attack,model,dataset,poison_rate,FPR,TPR,precision,recall,f1,detected_poisoned,detected_clean,TP,TN,FP,FN,accuracy
0,STRIP,wanet,resnet18,cifar10,0.05,0.081,0.9007030960897989,0.9890288500609508,0.9007030960897989,0.942801807617818,7383,1724,7302,919,81,805,0.9027121994070496
0,STRIP,blended,resnet18,cifar10,0.05,0.086,0.9961761440730234,0.9894633668218574,0.9961761440730234,0.9928084086299097,8162,945,8076,914,86,31,0.987152739650818
0,STRIP,badnet,resnet18,cifar10,0.05,0.08,1.0,0.990228410895322,1.0,0.9950902172578865,8187,920,8107,920,80,0,0.9912155484791918
0,STRIP,bpp,resnet18,cifar10,0.05,0.077,0.7899346243986678,0.9881191174201512,0.7899346243986678,0.8779819029339183,6481,2626,6404,923,77,1703,0.8045459536620182
0,STRIP,narcissus,resnet18,cifar10,0.05,0.081,0.9997532996176144,0.9901050574150988,0.9997532996176144,0.9949057877616153,8186,921,8105,919,81,2,0.9908861315471617
0,STRIP,dfst,resnet18,cifar10,0.05,0.092,0.0001111111111111,0.010752688172043,0.0001111111111111,0.0002199494116353021,93,9907,1,908,92,8999,0.0909
0,STRIP,adaptive_blend,resnet18,cifar10,0.05,0.056,0.0083333333333333,0.5725190839694656,0.0083333333333333,0.01642755448472231,131,9869,75,944,56,8925,0.1019
0,STRIP,adaptive_patch,resnet18,cifar10,0.05,0.081,0.057,0.8636363636363636,0.057,0.10694183864915573,594,9406,513,919,81,8487,0.1432
0,STRIP,grond,resnet18,cifar10,0.05,0.079,0.0318888888888888,0.7841530054644809,0.0318888888888888,0.061285500747383995,366,9634,287,921,79,8713,0.1208
0,STRIP,badnet,resnet18,cifar100,0.05,0.101,1.0,0.9898000403958797,1.0,0.9948738770745571,9902,899,9801,899,101,0,0.990649013980187
0,STRIP,blended,resnet18,cifar100,0.05,0.107,0.9996939087848179,0.9891973750630995,0.9996939087848179,0.9944179437734699,9905,896,9798,893,107,3,0.9898157578002037
0,STRIP,wanet,resnet18,cifar100,0.05,0.079,0.9858177736965615,0.9918899496971564,0.9858177736965615,0.9888445399652032,9741,1060,9662,921,79,139,0.9798166836404036
0,STRIP,bpp,resnet18,cifar100,0.05,0.118,0.701867156412611,0.9831356295555238,0.701867156412611,0.8190260745326825,6997,3804,6879,882,118,2922,0.7185445792056291
0,STRIP,dfst,resnet18,cifar100,0.05,0.125,0.018484848484848486,0.5941558441558441,0.018484848484848486,0.03585423197492164,308,10592,183,875,125,9717,0.09706422018348623
0,STRIP,adaptive_patch,resnet18,cifar100,0.05,0.115,0.3146464646464647,0.9643962848297214,0.3146464646464647,0.4744859101294745,3230,7670,3115,885,115,6785,0.3669724770642202
0,STRIP,adaptive_blend,resnet18,cifar100,0.05,0.105,0.4109090909090909,0.9748382458662832,0.4109090909090909,0.5781283308463013,4173,6727,4068,895,105,5832,0.45532110091743117
0,STRIP,grond,resnet18,cifar100,0.05,0.099,0.09424242424242424,0.9040697674418605,0.09424242424242424,0.17069154774972556,1032,9868,933,901,99,8967,0.16825688073394496
0,STRIP,badnet,resnet18,imagenette,0.05,0.142,1.0,0.9568782265411478,1.0,0.9779639975170702,3293,858,3151,858,142,0,0.9657913755721513
